age,gender,education_level,job_title,years_of_experience,salary,currency
28.0,Female,Master,Data Analyst,3.0,65000.0,USD
45.0,Male,PhD,Senior Manager,15.0,150000.0,USD
36.0,Female,Bachelor,Sales Associate,7.0,60000.0,USD
52.0,Male,Master,Director,20.0,200000.0,USD
29.0,Male,Bachelor,Marketing Analyst,2.0,59400.0,USD
42.0,Female,Master,Product Manager,12.0,129600.0,USD
31.0,Male,Bachelor,Sales Manager,4.0,99200.0,USD
26.0,Female,Bachelor,Marketing Coordinator,1.0,48600.0,USD
38.0,Male,PhD,Senior Scientist,10.0,110000.0,USD
29.0,Male,Master,Software Developer,3.0,75000.0,USD
48.0,Female,Bachelor,Hr Manager,18.0,140000.0,USD
35.0,Male,Bachelor,Financial Analyst,6.0,65000.0,USD
40.0,Female,Master,Project Manager,14.0,140400.0,USD
27.0,Male,Bachelor,Customer Service Rep,2.0,40000.0,USD
44.0,Male,Bachelor,Operations Manager,16.0,125000.0,USD
33.0,Female,Master,Marketing Manager,7.0,111600.0,USD
39.0,Male,PhD,Senior Engineer,12.0,115000.0,USD
25.0,Female,Bachelor,Data Entry Clerk,0.0,37800.0,USD
51.0,Male,Bachelor,Sales Director,22.0,180000.0,USD
34.0,Female,Master,Business Analyst,5.0,86400.0,USD
47.0,Male,Master,Vp Of Operations,19.0,190000.0,USD
30.0,Male,Bachelor,It Support,2.0,50000.0,USD
36.0,Female,Bachelor,Recruiter,9.0,64800.0,USD
41.0,Male,Master,Financial Manager,13.0,140000.0,USD
28.0,Female,Bachelor,Social Media Specialist,3.0,45000.0,USD
37.0,Female,Master,Software Manager,11.0,110000.0,USD
24.0,Male,Bachelor,Junior Developer,1.0,40000.0,USD
43.0,Female,PhD,Senior Consultant,15.0,140000.0,USD
33.0,Male,Master,Product Designer,6.0,90000.0,USD
50.0,Male,Bachelor,Ceo,25.0,250000.0,USD
31.0,Female,Bachelor,Accountant,4.0,59400.0,USD
29.0,Male,Master,Data Scientist,3.0,75000.0,USD
39.0,Female,Bachelor,Marketing Specialist,10.0,65000.0,USD
46.0,Male,PhD,Senior Manager,20.0,170000.0,USD
27.0,Male,Bachelor,Technical Writer,2.0,45000.0,USD
35.0,Female,Bachelor,Hr Generalist,7.0,60000.0,USD
42.0,Male,Master,Project Engineer,14.0,115000.0,USD
26.0,Female,Bachelor,Customer Success Rep,1.0,40000.0,USD
49.0,Male,Bachelor,Sales Executive,21.0,160000.0,USD
34.0,Female,Master,Ux Designer,5.0,86400.0,USD
48.0,Male,Master,Operations Director,18.0,190000.0,USD
30.0,Male,Bachelor,Network Engineer,3.0,60000.0,USD
36.0,Female,Bachelor,Administrative Assistant,8.0,45000.0,USD
41.0,Male,Master,Strategy Consultant,13.0,130000.0,USD
28.0,Female,Bachelor,Copywriter,2.0,43200.0,USD
32.0,Male,Bachelor,Account Manager,5.0,75000.0,USD
45.0,Female,Master,Director Of Marketing,16.0,180000.0,USD
38.0,Male,PhD,Senior Scientist,11.0,120000.0,USD
25.0,Male,Bachelor,Help Desk Analyst,0.0,35000.0,USD
51.0,Female,Bachelor,Customer Service Manager,22.0,130000.0,USD
33.0,Male,Master,Business Intelligence Analyst,7.0,91800.0,USD
40.0,Female,Bachelor,Event Coordinator,12.0,60000.0,USD
47.0,Male,Master,Vp Of Finance,19.0,200000.0,USD
29.0,Female,Bachelor,Graphic Designer,3.0,50000.0,USD
36.0,Male,Bachelor,Sales Manager,9.0,95000.0,USD
27.0,Female,Master,Ux Researcher,2.0,65000.0,USD
